,date,Open,High,Low,Close,c2c,Parkinson,GarmanKlass,YangZhang,kurtosis,HodgesTompkins,skew,RogersSatchell
0,01/18/2023,42271.8,42555.25,42122.15,42473.75,0.15234074434226,0.1527780837630812,0.20177432742697285,0.16477147479777082,0.28852520499686,0.1528763390313568,0.2896620794029122,0.1542710056746312
1,01/17/2023,42241.2,42383.8,41861.1,42235.05,0.16204493526140842,0.16336110979819188,0.21768432216582975,0.17217173202600322,0.08157812247843134,0.16261464763281483,0.3331285226066929,0.16088372721144348
2,01/16/2023,42622.5,42715.65,42066.55,42167.55,0.16168364040693695,0.16287513147512234,0.2174327326564069,0.17301397892851592,0.1381721257667128,0.16225208254951462,0.38046670662658194,0.15933692121010287
3,01/13/2023,42171.25,42453.95,41885.6,42371.25,0.16248145360982355,0.16047217697723587,0.21367133242415887,0.17120843790531742,0.0037707276611693968,0.16305270067839922,0.23723814543307367,0.1585790692201247
4,01/12/2023,42238.5,42343.5,41742.95,42082.25,0.16082756588306943,0.15992356229674567,0.2128574181795882,0.17187645123352424,0.23473039145102237,0.16139299826637074,0.4267640511743303,0.15817348062578343
5,01/11/2023,42071.85,42318.0,41729.0,42232.7,0.16533576984434242,0.1610924226614538,0.21507082691518936,0.17192905481805237,0.010665914311851018,0.16591705202612966,0.47016570385015166,0.15748317602963582
6,01/10/2023,42642.0,42674.25,41835.75,42014.75,0.16398869709526284,0.1585162237629082,0.21224012837981965,0.1687395564247505,0.1467613635391755,0.1645652432820059,0.5118967762605792,0.15333180391763648
7,01/09/2023,42404.85,42716.8,42186.55,42582.75,0.16058738590656246,0.1531707605942724,0.20428995582803958,0.1652527939967687,0.16045902066122636,0.16115197387282748,0.3380234266816721,0.14973578997762807
8,01/06/2023,42649.7,42685.9,41877.0,42188.8,0.15618286340489113,0.1520388812020871,0.20330627215069036,0.1633919427561152,0.5689622058860363,0.15673196609261106,0.42466422693690065,0.14770492534934715
9,01/05/2023,43073.05,43137.55,42298.6,42608.7,0.1533355422115248,0.1484547432437729,0.19827828844426765,0.16092048075512186,0.7382066607052177,0.15387463437897383,0.30058216216198075,0.14438519083965418
